filename,character,id,description
PO.S1.E1.C01 Bridge During War.mp4,Piltover,PO.S1.E1.C01,Bridge During War
PO.S1.E1.C02 Bridge War Enforcer.mp4,Piltover,PO.S1.E1.C02,Bridge War Enforcer
PD.S1.E1.C03 Vi and Powder Intro.mp4,Powder,PD.S1.E1.C03,Vi and Powder Intro
VD.S1.E1.C04 Vander Meets Vi Pow on Bridge.mp4,Vander,VD.S1.E1.C04,Vander Meets Vi Pow on Bridge
VI.S1.E1.C05 Vi and Powder Intro.mp4,Vi,VI.S1.E1.C05,Vi and Powder Intro
VI.S1.E1.C06 Vi Sees Dead Parents.mp4,Vi,VI.S1.E1.C06,Vi Sees Dead Parents
VI.S1.E1.C07 Vi looks angrily at Enforcers and Piltover.mp4,Vi,VI.S1.E1.C07,Vi looks angrily at Enforcers and Piltover
MY.S1.E1.C08 Mylo Picks Lock And Fails_1.mp4,Mylo,MY.S1.E1.C08,Mylo Picks Lock And Fails_1
PD.S1.E1.C09 Powder Beautiful Shot + Powder Jumps Over Chasm.mp4,Powder,PD.S1.E1.C09,Powder Beautiful Shot + Powder Jumps Over Chasm
VD.S1.E1.C10 Vander Meets Vi Pow on Bridge.mp4,Vander,VD.S1.E1.C10,Vander Meets Vi Pow on Bridge
VD.S1.E1.C11 Vander Meets Vi Pow on Bridge.mp4,Vander,VD.S1.E1.C11,Vander Meets Vi Pow on Bridge
VI.S1.E1.C12 Vi Gang Climb on Roof and Gaze at Piltover.mp4,Vi,VI.S1.E1.C12,Vi Gang Climb on Roof and Gaze at Piltover
VI.S1.E1.C13 Vi Gang Jump Over Chasm.mp4,Vi,VI.S1.E1.C13,Vi Gang Jump Over Chasm
VI.S1.E1.C14 Vi Gang Break Into Jayce's Lab.mp4,Vi,VI.S1.E1.C14,Vi Gang Break Into Jayce's Lab
PO.S1.E1.C15 Piltover Building Blows Up.mp4,Piltover,PO.S1.E1.C15,Piltover Building Blows Up
PD.S1.E1.C16 Powder Looks at Tech in Jayce's Lab.mp4,Powder,PD.S1.E1.C16,Powder Looks at Tech in Jayce's Lab
PD.S1.E1.C17 Powder Beautiful Shot Looking at Hex Crystal.mp4,Powder,PD.S1.E1.C17,Powder Beautiful Shot Looking at Hex Crystal
PD.S1.E1.C18 Powder Finds Hextech.mp4,Powder,PD.S1.E1.C18,Powder Finds Hextech
PD.S1.E1.C19 Powder Blows Up Jayce's Lab.mp4,Powder,PD.S1.E1.C19,Powder Blows Up Jayce's Lab
VI.S1.E1.C20 Vi Gang In Jayce's Lab Looking At Tech.mp4,Vi,VI.S1.E1.C20,Vi Gang In Jayce's Lab Looking At Tech
VI.S1.E1.C21 Vi Gang Hears Jayce About To Enter.mp4,Vi,VI.S1.E1.C21,Vi Gang Hears Jayce About To Enter
EF.S1.E1.C22 Enforcers Throw Net.mp4,Enforcers,EF.S1.E1.C22,Enforcers Throw Net
EF.S1.E1.C23 Enforcers Fall When Running Across Bridge.mp4,Enforcers,EF.S1.E1.C23,Enforcers Fall When Running Across Bridge
PO.S1.E1.C24 Enforcers Throw Net.mp4,Piltover,PO.S1.E1.C24,Enforcers Throw Net
PO.S1.E1.C25 Enforcers Fall When Running Across Bridge.mp4,Piltover,PO.S1.E1.C25,Enforcers Fall When Running Across Bridge
VI.S1.E1.C26 Vi Gang Escape From Piltover While Chased By Enforcers.mp4,Vi,VI.S1.E1.C26,Vi Gang Escape From Piltover While Chased By Enforcers
VI.S1.E1.C27 VI Gang Cross Bridge.mp4,Vi,VI.S1.E1.C27,VI Gang Cross Bridge
VI.S1.E1.C28 Vi Gang Throw Off Enforcers During Chase.mp4,Vi,VI.S1.E1.C28,Vi Gang Throw Off Enforcers During Chase
VI.S1.E1.C29 Vi Gang Jump Down Sewer.mp4,Vi,VI.S1.E1.C29,Vi Gang Jump Down Sewer
DK.S1.E1.C30 Deckard Stops Vi's Gang.mp4,Deckard,DK.S1.E1.C30,Deckard Stops Vi's Gang
DK.S1.E1.C31 Dekard Tries to Threaten Vi With Knife and Runs Away.mp4,Deckard,DK.S1.E1.C31,Dekard Tries to Threaten Vi With Knife and Runs Away
MY.S1.E1.C32 Mylo Roasts Powder for Losing Everything_1.mp4,Mylo,MY.S1.E1.C32,Mylo Roasts Powder for Losing Everything_1
MY.S1.E1.C33 Mylo Roasts Powder Again for Losing Everything_1.mp4,Mylo,MY.S1.E1.C33,Mylo Roasts Powder Again for Losing Everything_1
PD.S1.E1.C34 Powder's Bomb Fails.mp4,Powder,PD.S1.E1.C34,Powder's Bomb Fails
PD.S1.E1.C35 Powder Throws Bag Into Water.mp4,Powder,PD.S1.E1.C35,Powder Throws Bag Into Water
PD.S1.E1.C36 Powder Gets Roasted by Myle for Losing Everything.mp4,Powder,PD.S1.E1.C36,Powder Gets Roasted by Myle for Losing Everything
VI.S1.E1.C37 Vi Gang Stopped By Deckard.mp4,Vi,VI.S1.E1.C37,Vi Gang Stopped By Deckard
VI.S1.E1.C38 Vi Gang Fight Deckard Gang.mp4,Vi,VI.S1.E1.C38,Vi Gang Fight Deckard Gang
VI.S1.E1.C39 Vi Shows Deckard Who Has Balls.mp4,Vi,VI.S1.E1.C39,Vi Shows Deckard Who Has Balls
VI.S1.E1.C40 Vi Gang Sad; Beaten Up; with Nothing left.mp4,Vi,VI.S1.E1.C40,Vi Gang Sad; Beaten Up; with Nothing left
VI.S1.E1.C41 Vi Gang Take Elevator Into Zaun.mp4,Vi,VI.S1.E1.C41,Vi Gang Take Elevator Into Zaun
VD.S1.E1.C42 Vander Smokes A Pipe Very Cool.mp4,Vander,VD.S1.E1.C42,Vander Smokes A Pipe Very Cool
VD.S1.E1.C43 Vander Intimidates Scammers.mp4,Vander,VD.S1.E1.C43,Vander Intimidates Scammers
ZN.S1.E1.C44 Inside the Last Drop.mp4,Zaun,ZN.S1.E1.C44,Inside the Last Drop
ZN.S1.E1.C45 A business deal within Zaun.mp4,Zaun,ZN.S1.E1.C45,A business deal within Zaun
MY.S1.E1.C46 Mylo Roasted by Vi for big mouth_1.mp4,Mylo,MY.S1.E1.C46,Mylo Roasted by Vi for big mouth_1
PD.S1.E1.C47 Powder Finds Hex Crystals and Goes to show vi.mp4,Powder,PD.S1.E1.C47,Powder Finds Hex Crystals and Goes to show vi
PD.S1.E1.C48 Powder Overhears Mylo and Vi Talking About Her.mp4,Powder,PD.S1.E1.C48,Powder Overhears Mylo and Vi Talking About Her
PD.S1.E1.C49 Powder gets sad and runs away when eavesdropping.mp4,Powder,PD.S1.E1.C49,Powder gets sad and runs away when eavesdropping
VD.S1.E1.C50 Vander Roasts Kids For Going Into Piltover.mp4,Vander,VD.S1.E1.C50,Vander Roasts Kids For Going Into Piltover
VD.S1.E1.C51 Vander Roasts Vi and Kicks everyone out.mp4,Vander,VD.S1.E1.C51,Vander Roasts Vi and Kicks everyone out
VD.S1.E1.C52 Vander has a Heart to Heart With Vias he Patches her up.mp4,Vander,VD.S1.E1.C52,Vander has a Heart to Heart With Vias he Patches her up
VD.S1.E1.C53 Vander Roasts Mylo and Takes Claggor.mp4,Vander,VD.S1.E1.C53,Vander Roasts Mylo and Takes Claggor
VI.S1.E1.C54 Vi Gang Go Back To Their Base.mp4,Vi,VI.S1.E1.C54,Vi Gang Go Back To Their Base
VI.S1.E1.C55 Vi Gang Roasted by Vander For Going Into Piltover.mp4,Vi,VI.S1.E1.C55,Vi Gang Roasted by Vander For Going Into Piltover
VI.S1.E1.C56 Vi roasted by Vander and he Kicks everyone out.mp4,Vi,VI.S1.E1.C56,Vi roasted by Vander and he Kicks everyone out
VI.S1.E1.C57 Vi has a Heart to Heart With Vander as he Patches her up.mp4,Vi,VI.S1.E1.C57,Vi has a Heart to Heart With Vander as he Patches her up
VI.S1.E1.C58 Vi Roasts Mylo for big mouth.mp4,Vi,VI.S1.E1.C58,Vi Roasts Mylo for big mouth
EK.S1.E1.C59 Ekko gets introduced.mp4,Ekko,EK.S1.E1.C59,Ekko gets introduced
EK.S1.E1.C60 Ekko talks to Claggor.mp4,Ekko,EK.S1.E1.C60,Ekko talks to Claggor
EK.S1.E1.C61 Ekko spies on Vander and Enforcers.mp4,Ekko,EK.S1.E1.C61,Ekko spies on Vander and Enforcers
EF.S1.E1.C62 Enforcers Enter Benzo's Shop.mp4,Enforcers,EF.S1.E1.C62,Enforcers Enter Benzo's Shop
EF.S1.E1.C63 Enforcer underground deal with Vander.mp4,Enforcers,EF.S1.E1.C63,Enforcer underground deal with Vander
MC.S1.E1.C64 Marcus gets kicked out of Benzo's Shop.mp4,Marcus,MC.S1.E1.C64,Marcus gets kicked out of Benzo's Shop
VD.S1.E1.C65 Vander Goes to Benzo's Shop with Claggor.mp4,Vander,VD.S1.E1.C65,Vander Goes to Benzo's Shop with Claggor
VD.S1.E1.C66 Vander Talks to Benzo.mp4,Vander,VD.S1.E1.C66,Vander Talks to Benzo
VD.S1.E1.C67 Vander clutches his scar from Silco.mp4,Vander,VD.S1.E1.C67,Vander clutches his scar from Silco
VD.S1.E1.C68 Vander underground deal with Enforcers.mp4,Vander,VD.S1.E1.C68,Vander underground deal with Enforcers
PD.S1.E1.C69 Powder draws on grenade.mp4,Powder,PD.S1.E1.C69,Powder draws on grenade
PD.S1.E1.C70 Powder tells Vi about hex crystals.mp4,Powder,PD.S1.E1.C70,Powder tells Vi about hex crystals
VI.S1.E1.C71 Vi tries to cheer up Powder.mp4,Vi,VI.S1.E1.C71,Vi tries to cheer up Powder
VI.S1.E1.C72 Vi tells Powder about Zaun.mp4,Vi,VI.S1.E1.C72,Vi tells Powder about Zaun
VI.S1.E1.C73 Vi hugs Powder; Cute Shot.mp4,Vi,VI.S1.E1.C73,Vi hugs Powder; Cute Shot
VI.S1.E1.C74 Vi and Powder look up at Piltover; Beautiful Shot.mp4,Vi,VI.S1.E1.C74,Vi and Powder look up at Piltover; Beautiful Shot
ZN.S1.E1.C75 Zaun at night.mp4,Zaun,ZN.S1.E1.C75,Zaun at night
